,number,value,datetime_start,datetime_complete,params_activation,params_dropout_prob1,params_dropout_prob2,params_lr,params_optimizer,params_weight_decay,state
67,67,0.014000000000000012,2020-04-12 16:39:20.400460,2020-04-12 16:39:27.646172,elu,0.23691522329040443,0.20215834704421604,0.0012968240087022017,adam,4.069361043051954e-09,PRUNED
68,68,0.012499999999999956,2020-04-12 16:39:27.675606,2020-04-12 16:39:38.464056,relu,0.32272760430806713,0.547966249666066,0.0017960877313675063,adam,7.876920908554677e-08,PRUNED
69,69,0.014700000000000046,2020-04-12 16:39:38.493189,2020-04-12 16:39:45.734818,relu,0.12604349827467123,0.2642825235279778,0.0004230154796188241,adam,2.49448703761478e-08,PRUNED
70,70,0.06779999999999997,2020-04-12 16:39:45.765038,2020-04-12 16:39:52.972588,relu,0.16513299881279864,0.22894375604163025,0.0007651252935132805,momentum,2.9693020095714997e-07,PRUNED
71,71,0.009000000000000008,2020-04-12 16:39:53.002861,2020-04-12 16:40:28.902716,relu,0.20828279741655023,0.1283103644012858,0.001620808887819053,adam,1.1937319017878892e-08,COMPLETE
72,72,0.010099999999999998,2020-04-12 16:40:28.908649,2020-04-12 16:41:04.837030,relu,0.15234584710065324,0.16766338066520312,0.0024885922057656927,adam,1.0254351131795256e-09,COMPLETE
73,73,0.013299999999999979,2020-04-12 16:41:04.843081,2020-04-12 16:41:12.053545,relu,0.13530734645714038,0.18975240606611096,0.0013454346717463393,adam,7.614339568939977e-09,PRUNED
74,74,0.008199999999999985,2020-04-12 16:41:12.083064,2020-04-12 16:41:48.047470,relu,0.10960638062789499,0.32696895005399634,0.000976278106365394,adam,3.233394659423173e-09,COMPLETE
75,75,0.009399999999999964,2020-04-12 16:41:48.053697,2020-04-12 16:42:23.915444,relu,0.1929096061270855,0.3262256935410084,0.0008878179095709671,adam,2.5218974608452734e-10,COMPLETE
76,76,0.011600000000000055,2020-04-12 16:42:23.921800,2020-04-12 16:42:38.275589,relu,0.10403277049509764,0.37345047302853557,0.0007038619867801884,adam,3.0796816154997223e-09,PRUNED
77,77,0.008199999999999985,2020-04-12 16:42:38.305380,2020-04-12 16:43:14.275588,relu,0.2799019758899639,0.3061081907684107,0.0011106640313118415,adam,3.17658505917241e-06,COMPLETE
78,78,0.008499999999999952,2020-04-12 16:43:14.281890,2020-04-12 16:43:50.125401,relu,0.2843353912794278,0.3114000035101073,0.0010181845185616135,adam,6.322390192560533e-06,COMPLETE
79,79,0.01200000000000001,2020-04-12 16:43:50.131808,2020-04-12 16:44:00.875656,relu,0.26043344992794615,0.46435480299961857,0.0010609960066369517,adam,2.748254029358796e-06,PRUNED
80,80,0.015100000000000002,2020-04-12 16:44:00.905561,2020-04-12 16:44:08.088362,relu,0.3199964605412646,0.2888552292260801,0.0005162768694940269,adam,5.760893557680235e-06,PRUNED
81,81,0.00880000000000003,2020-04-12 16:44:08.119189,2020-04-12 16:44:43.979527,relu,0.2861497486733454,0.3206723193085745,0.001165468189361656,adam,9.072400899336796e-06,COMPLETE
82,82,0.007800000000000029,2020-04-12 16:44:43.986148,2020-04-12 16:45:19.970797,relu,0.35798924297727985,0.3534718039565938,0.0019912949947106058,adam,3.9406253271182425e-06,COMPLETE
83,83,0.010199999999999987,2020-04-12 16:45:19.977708,2020-04-12 16:45:52.320607,relu,0.3661861457638508,0.3615077819049363,0.0020261096424957184,adam,4.132375717798918e-06,PRUNED
84,84,0.01429999999999998,2020-04-12 16:45:52.350988,2020-04-12 16:45:59.563728,relu,0.22074492676204513,0.410888944581012,0.0007449391520979749,adam,2.0500578748077444e-05,PRUNED
85,85,0.011199999999999988,2020-04-12 16:45:59.593986,2020-04-12 16:46:13.959098,relu,0.4181192949233179,0.3043119975699974,0.004048342727644015,adam,2.4052415833063604e-06,PRUNED
86,86,0.01090000000000002,2020-04-12 16:46:13.990017,2020-04-12 16:46:28.339170,relu,0.24385622150490566,0.32856400330389435,0.003037241988373499,adam,1.1082329546815504e-06,PRUNED
87,87,0.014000000000000012,2020-04-12 16:46:28.370129,2020-04-12 16:46:35.580514,relu,0.35140685054852416,0.27628196014682904,0.0057265563435192806,adam,1.1782349677660445e-05,PRUNED
88,88,0.018399999999999972,2020-04-12 16:46:35.611195,2020-04-12 16:46:42.830070,elu,0.39728997257372134,0.3031352488496261,0.0023192055723168597,adam,6.294697455917878e-06,PRUNED
89,89,0.01429999999999998,2020-04-12 16:46:42.860610,2020-04-12 16:46:50.049623,relu,0.44321147469557465,0.34192671836346417,0.000623836161584316,adam,6.119384850811475e-07,PRUNED
90,90,0.05930000000000002,2020-04-12 16:46:50.080581,2020-04-12 16:46:57.344328,relu,0.3133541927456721,0.39169039979709747,0.001281655314796107,momentum,2.03536220001664e-06,PRUNED
91,91,0.013700000000000045,2020-04-12 16:46:57.375637,2020-04-12 16:47:04.588710,relu,0.2719032016346401,0.23782539400529615,0.0009358817164795778,adam,3.4413075773423583e-06,PRUNED
92,92,0.016100000000000003,2020-04-12 16:47:04.619423,2020-04-12 16:47:11.835280,relu,0.4891506054641232,0.36298405066128886,0.0004533993003948017,adam,3.322269289314519e-05,PRUNED
93,93,0.01100000000000001,2020-04-12 16:47:11.867121,2020-04-12 16:47:47.753323,relu,0.2931627923536213,0.2754194248238195,0.0018297460151410628,adam,1.0088354141697915e-06,COMPLETE
94,94,0.0121,2020-04-12 16:47:47.760885,2020-04-12 16:47:58.559826,relu,0.25369587755608597,0.39084701706287905,0.001047414574614383,adam,1.8170189377608206e-06,PRUNED
95,95,0.015100000000000002,2020-04-12 16:47:58.592301,2020-04-12 16:48:05.832650,relu,0.3388247057650367,0.2151344643252967,0.0003617718778053926,adam,8.710698913975371e-06,PRUNED
96,96,0.014399999999999968,2020-04-12 16:48:05.864131,2020-04-12 16:48:13.091102,relu,0.21060590435104792,0.3121166666589618,0.0037359784594160365,adam,1.302742877275696e-07,PRUNED
97,97,0.01419999999999999,2020-04-12 16:48:13.123439,2020-04-12 16:48:20.350042,relu,0.372032343810537,0.33844305121472823,0.0006346456448493566,adam,4.9553975088192146e-06,PRUNED
98,98,0.013599999999999945,2020-04-12 16:48:20.382966,2020-04-12 16:48:27.623687,relu,0.6431575715595365,0.24856422146617688,0.0008498502325679979,adam,5.31331566125411e-07,PRUNED
99,99,0.010199999999999987,2020-04-12 16:48:27.654724,2020-04-12 16:48:49.209946,relu,0.27722933268289424,0.28429092720804017,0.0015041379605737792,adam,1.2111030794508112e-06,PRUNED
